ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,pe,pb,ps,turnover_rate,total_mv
000001.SZ,20250605,11.88,11.91,11.66,11.67,11.84,-0.17,-1.4358,1166803.49,1369212.336,5.0882,0.5192,1.5438,0.6013,22646706.5371
000001.SZ,20250606,11.7,11.79,11.68,11.7,11.67,0.03,0.2571,682352.51,799900.024,5.1013,0.5206,1.5478,0.3516,22704924.2917
000001.SZ,20250609,11.73,11.75,11.65,11.71,11.7,0.01,0.0855,773254.68,905092.605,5.1057,0.521,1.5491,0.3985,22724330.2099
000001.SZ,20250610,11.72,11.89,11.71,11.81,11.71,0.1,0.854,1428131.8,1689018.78,5.1493,0.5255,1.5623,0.7359,22918389.3918
000001.SZ,20250611,11.82,11.93,11.79,11.85,11.81,0.04,0.3387,1094666.64,1298656.315,5.1667,0.5272,1.5676,0.5641,22996013.0646
000001.SZ,20250612,11.56,11.7,11.52,11.68,11.49,0.19,1.6536,1290220.47,1500287.176,5.0926,0.5282,1.5451,0.6649,22666112.4553
000001.SZ,20250613,11.68,11.74,11.56,11.58,11.68,-0.1,-0.8562,1095494.19,1272773.101,5.049,0.5237,1.5319,0.5645,22472053.2733
000001.SZ,20250616,11.57,11.79,11.53,11.79,11.58,0.21,1.8135,1174438.27,1371041.708,5.1406,0.5332,1.5597,0.6052,22879577.5554
000001.SZ,20250617,11.79,11.88,11.71,11.76,11.79,-0.03,-0.2545,890027.34,1048960.749,5.1275,0.5318,1.5557,0.4586,22821359.8008
000001.SZ,20250618,11.78,11.81,11.66,11.77,11.76,0.01,0.085,683521.11,802908.098,5.1318,0.5323,1.557,0.3522,22840765.719
000001.SZ,20250619,11.76,11.78,11.65,11.7,11.77,-0.07,-0.5947,832247.16,974127.331,5.1013,0.5291,1.5478,0.4289,22704924.2917
000001.SZ,20250620,11.7,11.86,11.67,11.84,11.7,0.14,1.1966,1309197.82,1544541.881,5.1624,0.5354,1.5663,0.6747,22976607.1464
000001.SZ,20250623,11.81,11.97,11.67,11.93,11.84,0.09,0.7601,1389170.48,1646476.917,5.2016,0.5395,1.5782,0.7159,23151260.4102
000001.SZ,20250624,11.9,12.01,11.84,11.93,11.93,0.0,0.0,1308525.31,1560621.893,5.2016,0.5395,1.5782,0.6743,23151260.4102
000001.SZ,20250625,11.93,12.08,11.83,12.06,11.93,0.13,1.0897,1675116.47,2007989.727,5.2583,0.5454,1.5954,0.8632,23403537.3468
000001.SZ,20250626,12.05,12.48,12.01,12.41,12.06,0.35,2.9022,2174577.66,2672207.529,5.4109,0.5612,1.6417,1.1206,24082744.4837
