ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,20240605,1652.0,1658.68,1643.03,1644.0,1653.2,-9.2,-0.5565,19055.57,3140824.328
600519.SH,20240606,1643.66,1651.99,1635.91,1639.81,1644.0,-4.19,-0.2549,25610.05,4205700.983
600519.SH,20240607,1646.13,1646.18,1619.01,1619.18,1639.81,-20.63,-1.2581,33524.55,5453120.695
600519.SH,20240611,1602.99,1605.0,1567.0,1569.0,1619.18,-50.18,-3.0991,70246.76,11090577.61
600519.SH,20240612,1570.0,1590.0,1570.0,1571.68,1569.0,2.68,0.1708,33170.5,5230086.503
600519.SH,20240613,1576.77,1576.89,1553.15,1555.01,1571.68,-16.67,-1.0606,36185.97,5654938.942
600519.SH,20240614,1555.0,1563.96,1520.46,1555.0,1555.01,-0.01,-0.0006,59514.16,9177637.168
600519.SH,20240617,1532.29,1548.77,1511.01,1541.5,1555.0,-13.5,-0.8682,48318.16,7400883.243
600519.SH,20240618,1530.89,1554.54,1516.68,1521.5,1541.5,-20.0,-1.2974,41258.25,6317590.943
600519.SH,20240619,1497.99,1504.0,1482.1,1501.0,1490.62,10.38,0.6964,41261.53,6167728.416
600519.SH,20240620,1500.0,1516.01,1498.0,1500.1,1501.0,-0.9,-0.06,24710.68,3715924.984
600519.SH,20240621,1500.5,1504.98,1470.22,1471.0,1500.1,-29.1,-1.9399,43319.97,6418543.742
600519.SH,20240624,1423.0,1488.99,1414.01,1476.55,1471.0,5.55,0.3773,63839.93,9319362.39
600519.SH,20240625,1477.0,1502.99,1477.0,1486.65,1476.55,10.1,0.684,42097.95,6273919.386
600519.SH,20240626,1480.0,1501.07,1477.8,1489.22,1486.65,2.57,0.1729,29569.77,4414601.922
600519.SH,20240627,1492.0,1493.97,1468.0,1490.49,1489.22,1.27,0.0853,32821.78,4857959.457
600519.SH,20240628,1480.0,1494.49,1464.0,1467.39,1490.49,-23.1,-1.5498,38582.02,5699649.047
600519.SH,20240701,1468.88,1472.99,1428.0,1440.38,1467.39,-27.01,-1.8407,32161.38,4636689.118
600519.SH,20240702,1433.0,1498.0,1433.0,1490.7,1440.38,50.32,3.4935,51852.98,7659166.816
600519.SH,20240703,1499.0,1513.01,1488.02,1500.0,1490.7,9.3,0.6239,31573.26,4740808.13
600519.SH,20240704,1505.0,1512.0,1481.13,1485.74,1500.0,-14.26,-0.9507,24379.73,3637968.895
600519.SH,20240705,1479.0,1493.18,1450.0,1453.0,1485.74,-32.74,-2.2036,38829.38,5664477.336
600519.SH,20240708,1443.0,1457.77,1419.14,1420.0,1453.0,-33.0,-2.2712,39527.05,5657951.348
600519.SH,20240709,1420.0,1454.89,1410.1,1438.03,1420.0,18.03,1.2697,33620.71,4807957.927
600519.SH,20240710,1439.25,1465.88,1435.0,1437.59,1438.03,-0.44,-0.0306,23763.22,3436693.365
600519.SH,20240711,1449.97,1469.0,1440.21,1462.09,1437.59,24.5,1.7042,29020.14,4236960.596
600519.SH,20240712,1473.01,1486.4,1465.45,1478.82,1462.09,16.73,1.1443,23386.34,3451132.648
600519.SH,20240715,1470.0,1488.0,1470.0,1474.9,1478.82,-3.92,-0.2651,19176.26,2835374.73
600519.SH,20240716,1476.0,1482.0,1465.05,1476.0,1474.9,1.1,0.0746,20316.44,2998367.128
600519.SH,20240717,1476.1,1503.0,1470.02,1501.4,1476.0,25.4,1.7209,34311.01,5115680.654
600519.SH,20240718,1499.5,1515.0,1492.53,1497.51,1501.4,-3.89,-0.2591,28870.39,4337214.601
600519.SH,20240719,1490.81,1529.18,1484.01,1525.62,1497.51,28.11,1.8771,38942.91,5888615.145
600519.SH,20240722,1525.03,1529.98,1491.65,1499.0,1525.62,-26.62,-1.7449,28543.21,4300813.31
600519.SH,20240723,1499.0,1501.0,1455.0,1455.0,1499.0,-44.0,-2.9353,30943.96,4555460.198
600519.SH,20240724,1450.2,1463.7,1435.0,1440.02,1455.0,-14.98,-1.0296,24122.55,3490200.973
600519.SH,20240725,1440.02,1448.0,1420.01,1430.49,1440.02,-9.53,-0.6618,28346.56,4054086.714
600519.SH,20240726,1430.49,1437.72,1410.9,1422.19,1430.49,-8.3,-0.5802,32353.79,4594928.574
600519.SH,20240729,1415.0,1421.99,1398.0,1398.02,1422.19,-24.17,-1.6995,30869.07,4342610.1
600519.SH,20240730,1385.98,1390.27,1361.3,1379.99,1398.02,-18.03,-1.2897,51779.04,7103491.566
600519.SH,20240731,1373.1,1427.27,1373.1,1421.28,1379.99,41.29,2.9921,43272.32,6098149.721
600519.SH,20240801,1418.0,1420.0,1384.7,1386.16,1421.28,-35.12,-2.471,32038.1,4470988.088
600519.SH,20240802,1373.6,1396.97,1373.6,1385.45,1386.16,-0.71,-0.0512,21927.69,3041726.372
600519.SH,20240805,1388.88,1426.0,1385.52,1410.01,1385.45,24.56,1.7727,37736.07,5327127.147
600519.SH,20240806,1422.0,1424.0,1394.01,1404.7,1410.01,-5.31,-0.3766,27444.33,3860735.014
